"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 18, 2018","52.30","54.38","54.38","52.00","25.76K","-4.39%"
"Oct 19, 2018","51.60","52.90","53.95","51.50","22.94K","-1.34%"
"Oct 22, 2018","53.17","52.20","53.92","51.27","20.48K","3.04%"
"Oct 23, 2018","54.52","53.75","55.40","53.38","20.80K","2.54%"
"Oct 24, 2018","57.52","55.10","57.52","55.10","22.60K","5.50%"
"Oct 25, 2018","56.77","57.92","58.45","56.35","29.84K","-1.30%"
"Oct 26, 2018","57.92","56.92","58.08","56.77","18.60K","2.03%"
"Oct 29, 2018","58.85","58.50","59.45","58.20","24.46K","1.61%"
"Oct 30, 2018","59.00","59.52","59.88","58.70","25.11K","0.25%"
"Oct 31, 2018","58.45","59.70","60.20","58.20","25.70K","-0.93%"
"Nov 01, 2018","58.20","57.83","59.08","56.75","25.97K","-0.43%"
"Nov 02, 2018","58.12","57.77","58.60","57.25","19.16K","-0.14%"
"Nov 05, 2018","57.10","57.95","59.12","56.70","22.75K","-1.75%"
"Nov 06, 2018","54.10","56.52","56.83","54.10","27.67K","-5.25%"
"Nov 07, 2018","55.52","54.40","55.75","54.00","36.72K","2.62%"
"Nov 08, 2018","55.62","55.15","55.75","54.38","35.64K","0.18%"
"Nov 09, 2018","55.80","54.80","56.10","54.23","36.56K","0.32%"
"Nov 12, 2018","56.55","55.70","57.90","55.23","32.46K","1.34%"
"Nov 13, 2018","57.30","56.35","57.40","55.60","26.81K","1.33%"
"Nov 14, 2018","57.00","56.75","58.20","56.75","21.01K","-0.52%"
"Nov 15, 2018","57.08","57.17","57.88","56.77","16.45K","0.14%"
"Nov 16, 2018","60.08","57.48","60.08","57.42","24.32K","5.26%"
"Nov 19, 2018","61.02","60.25","61.42","59.62","23.07K","1.56%"
"Nov 20, 2018","58.98","60.83","61.02","58.80","18.35K","-3.34%"
"Nov 21, 2018","58.27","58.52","58.90","58.10","8.32K","-1.20%"
"Nov 23, 2018","59.08","58.80","59.75","58.40","5.77K","1.39%"
"Nov 26, 2018","57.40","59.48","59.48","57.15","7.45K","-2.84%"
"Nov 27, 2018","57.88","57.73","58.35","56.70","8.27K","0.84%"
"Nov 28, 2018","57.95","57.80","58.40","57.30","6.02K","0.12%"
"Nov 29, 2018","58.73","58.25","59.25","58.15","9.80K","1.35%"
"Nov 30, 2018","57.88","58.70","58.80","57.77","9.65K","-1.45%"
"Dec 03, 2018","58.02","58.65","58.88","57.12","7.13K","0.24%"
"Dec 04, 2018","56.88","57.85","57.90","56.70","7.12K","-1.96%"
"Dec 05, 2018","55.85","56.60","56.60","55.80","8.37K","-1.81%"
"Dec 06, 2018","54.52","55.62","55.62","54.50","8.77K","-2.38%"
"Dec 07, 2018","54.25","54.92","55.20","54.12","8.65K","-0.50%"
"Dec 10, 2018","54.73","54.35","55.10","54.35","4.76K","0.88%"
"Dec 11, 2018","54.45","55.00","55.00","54.27","3.28K","-0.51%"
"Dec 12, 2018","54.73","54.70","54.80","54.38","2.02K","0.51%"
"Dec 13, 2018","54.80","54.83","54.88","54.50","1.94K","0.13%"
"Dec 14, 2018","64.50","65.28","66.80","64.45","18.31K","17.70%"
"Dec 17, 2018","63.83","64.33","64.40","63.02","17.37K","-1.04%"
"Dec 18, 2018","62.65","63.65","63.70","62.12","18.19K","-1.85%"
"Dec 19, 2018","62.70","62.73","63.52","62.20","12.80K","0.08%"
"Dec 20, 2018","62.38","62.50","63.42","61.80","15.89K","-0.51%"
"Dec 21, 2018","61.12","63.25","63.25","61.02","19.27K","-2.02%"
"Dec 24, 2018","60.30","61.90","61.90","60.23","14.99K","-1.34%"
"Dec 26, 2018","60.38","60.90","61.33","60.25","12.98K","0.13%"
"Dec 27, 2018","60.58","61.17","61.20","60.20","14.74K","0.33%"
"Dec 28, 2018","60.65","60.95","61.20","60.55","12.68K","0.12%"
"Dec 31, 2018","60.98","60.85","61.48","60.80","15.86K","0.54%"
"Jan 02, 2019","61.70","61.38","63.42","61.25","25.54K","1.18%"
"Jan 03, 2019","62.15","62.10","62.73","61.95","15.37K","0.73%"
"Jan 04, 2019","61.95","62.77","62.95","61.40","16.60K","-0.32%"
"Jan 07, 2019","61.90","61.95","62.15","61.25","14.09K","-0.08%"
"Jan 08, 2019","62.60","62.60","63.15","62.08","32.49K","1.13%"
"Jan 09, 2019","63.77","62.40","64.10","62.38","31.40K","1.87%"
"Jan 10, 2019","64.08","63.58","64.22","63.10","36.16K","0.49%"
"Jan 11, 2019","62.65","63.38","63.70","62.42","30.03K","-2.23%"
"Jan 14, 2019","61.85","62.65","62.73","61.40","24.99K","-1.28%"
"Jan 15, 2019","62.15","62.25","63.60","61.48","22.05K","0.49%"
"Jan 16, 2019","60.05","61.45","61.67","59.50","22.14K","-3.38%"
